slug,title,category,protocol_type,last_updated,author,synonyms,clinical_indications,position,npo,premedication,contrast_agent,contrast_volume,contrast_flow_rate,contrast_duration,contrast_timing,contrast_roi,contrast_trigger,kv,mas,rotation_time,pitch,tech_notes,nursing_notes,rad_notes,tips,additional_recons,safety_renal,safety_allergy
cta-for-gi-bleed,CTA for GI Bleed,vascular,vascular,2026-01-05,,,Active GI bleeding | Hematemesis | Melena with hemodynamic instability | Hematochezia,Supine with arms raised,NPO if possible (emergent study),,Isovue 370,1.5 mL/kg,4-5 mL/s,20s,Triple phase: Arterial + Portal Venous + Delayed,Abdominal aorta,150 HU,100-120,Auto (reference 300),0.5s,1.375,High flow rate critical for arterial phase. Scan arterial at 25 sec then portal at 70 sec then delayed at 90-180 sec. Look for active extravasation,Large bore IV 18-20G essential. Verify with saline test,Look for arterial extravasation (early) and pooling (delayed). Note location and potential source vessel,Arms raised to avoid artifacts. Fast table speed to cover area quickly in arterial phase,MIP of all three phases side-by-side for comparison,eGFR > 30 preferred but can proceed emergently,Document allergy history. Emergency indication overrides mild allergy
cta-lower-extremity-free-flap,CTA Lower Extremity Free Flap,vascular,vascular,2024-01-15,Dr. Kim,,Pre-operative planning for free flap harvest (fibula ALT anterolateral thigh),Supine with legs extended,NPO 2-4 hours,,Isovue 370,1.5 mL/kg,4-5 mL/s,25s,Bolus Tracking,Femoral artery,150 HU,100,Auto (reference 200),0.5s,0.9,Scan from iliac crest to ankle. Focus on perforators in region of interest. Arterial phase critical for mapping,18-20G IV,Map perforator vessels. Measure vessel caliber and length. Identify dominant pedicle. Note anatomic variants,Legs straight and not rotated. Mark skin over region of interest if possible,Curved MPR of main vessels. Measure perforator locations from bony landmarks,Verify eGFR > 30,Check allergy history
cta-lower-extremity-runoff-for-pad,CTA Lower Extremity Runoff for PAD,vascular,vascular,2024-01-15,Dr. Anderson,,Peripheral arterial disease | Claudication | Critical limb ischemia | Pre-operative bypass planning,Supine with arms raised. Legs straight,NPO 2-4 hours,,Isovue 370,1.9 mL/kg,3-4 mL/s,35s (5s fast 5-6mL/s then 30 s slow 3-4mL/s),Bolus Tracking,Abdominal aorta,150 HU,100-120,Auto (reference 250),0.5s,1.2-1.5,Scan from diaphragm to toes. Tape feet together. Use automatic bolus tracking. Extend delay if known severe PAD. Cover tibial vessels to ankle,"18-20G IV antecubital, flow rate up to 6 mL/s",Assess aortoiliac femoral popliteal and tibial vessels. Grade stenoses. Identify occlusions. Assess runoff vessels,Ensure legs are straight and not rotated. Remove shoes and metal,MIP and 3D VR. Curved MPR of each arterial segment. Bone subtraction for vessels.,Verify eGFR > 30,Check allergy history
cta-mesenteric-ischemia,CTA Mesenteric Ischemia,vascular,vascular,2024-01-15,Dr. Lee,,Acute mesenteric ischemia | Chronic mesenteric ischemia | Bowel infarction,Supine with arms raised,NPO (emergent - as patient presents),None - emergent study,Isovue 370,1.5 mL/kg,5 mL/s,20s,Dual phase: Arterial + Portal Venous,Abdominal aorta at celiac,150 HU,100,Auto (reference 300),0.5s,1.375,Arterial phase at 25 sec for vessel assessment. Portal venous at 70 sec for bowel perfusion. High flow rate critical,18-20G IV required for 5 mL/s flow. Must be patent,Arterial: assess celiac SMA IMA origins. Portal: look for bowel wall enhancement. Check for pneumatosis,Fast scan. High flow rate essential,MIP and 3D VR of celiac and SMA. Curved MPR of vessels,eGFR > 30 preferred,Emergency study - document indication
cta-pelvis-cyclist-iliac-artery-maneuver,CTA Pelvis Cyclist Iliac Artery Maneuver,vascular,vascular,2024-01-15,Dr. Rodriguez,,External iliac artery endofibrosis | Cyclist with exercise-induced leg symptoms,Supine initially then with hip flexion,NPO 2-4 hours,,Isovue 370,Split bolus: 1st injection 1.1 mL/kg + 2nd injection 1.1 mL/kg,4 mL/s,1st injection 18s + 2nd injection 18s,Dual position: Resting + Hip flexion cycling position,External iliac artery,150 HU,100,Auto (reference 200),0.5s,0.9,TWO acquisitions: 1) Resting supine 2) Hip flexion simulating cycling position. Bilateral imaging for comparison,18-20G IV,Compare resting vs flexed position. Look for iliac artery kinking stenosis or occlusion with hip flexion. Common in competitive cyclists,Position patient with knees bent and hips flexed to simulate cycling. May need positioning aids,Side-by-side MIP of rest vs flexion. Measure degree of stenosis. 3D VR,Verify eGFR > 30,Check allergy history. Explain hip flexion positioning
cta-pelvis-prostate-artery-embolization,CTA Pelvis Prostate Artery Embolization,vascular,vascular,2024-01-15,Dr. Jackson,,Pre-procedural planning for prostate artery embolization | Benign prostatic hyperplasia,Supine with arms raised,NPO 2-4 hours,,Isovue 370,1.2 mL/kg,3-4 mL/s,18-22s,Bolus Tracking,Common iliac artery,150 HU,100,Auto (reference 200),0.5s,0.9,Scan from L3 to proximal femur. Arterial phase essential. Focus on internal iliac branches and prostate supply,"18-20G IV | Chcek BP for nitroglycerin administration, check for contraindications",Identify prostate artery origins (usually anterior division of internal iliac). Map anatomy for IR. Note variants and anastomoses,Full bladder helpful for prostate visualization. Coordinate with IR before scan,3D VR with prostate vessels highlighted. Curved MPR of internal iliac branches. Measure vessel diameters,Verify eGFR > 30,Check allergy history
cta-popliteal-entrapment,CTA Popliteal Entrapment,vascular,vascular,2024-01-15,Dr. Thompson,,Popliteal entrapment syndrome | Exercise-induced leg pain | Young patient with claudication,Supine with legs extended in neutral position,NPO 2-4 hours,,Isovue 370,Dual injection: 1.2 mL/kg + 1.2 mL/kg,4 mL/s,18-20s + 18-20s,Bolus Tracking,Popliteal artery,150 HU,100,Auto (reference 200),0.5s,0.9,TWO acquisitions required: 1) Neutral position 2) Active plantarflexion. Both legs scanned for comparison. Coach patient on plantarflexion technique,18-20G IV antecubital,Compare neutral vs plantarflexion images. Look for popliteal artery compression deviation or occlusion with plantarflexion. Assess muscle anatomy,Coach patient on maintaining plantarflexion during second acquisition. Use foot straps if needed,Side-by-side comparison of neutral vs plantarflexion. 3D VR showing muscle-vessel relationship,Verify eGFR > 30,Check allergy history. Explain plantarflexion maneuver to patient
cta-scadfmd-protocol,CTA SCAD/FMD Protocol,vascular,vascular,2024-01-15,Dr. Hayes,,Spontaneous coronary artery dissection screening | Fibromuscular dysplasia screening | Multi-vessel arterial assessment,Supine with arms initially UP then DOWN,NPO 4 hours,,Isovue 370,150 mL total,4 mL/s,,Multi-phase: NC Head + CTA Neck + CTA CAP arms up + Post-contrast Head arms down,Multiple ROIs,150 HU,100-120,Auto (reference 200-250),0.5s,0.9-1.2,FOUR acquisitions: 1) NC Head arms down 2) CTA Neck bolus track 3) CTA CAP arms up 4) Post Head arms down. Patient repositions arms between scans,20G IV minimum. Verify good flow for multiple phases,Screen all vascular beds for FMD. Look for beading stenosis aneurysm dissection. Assess renal carotid vertebral intracranial arteries,Coach patient on arm repositioning. Multiple phases require good IV. Plan scan sequence carefully,Comprehensive MIP and 3D VR of all vascular beds. Measure vessel diameters. Document FMD findings,Verify eGFR > 30,Check allergy history. Explain arm repositioning
cta-upper-extremity,CTA Upper Extremity,vascular,vascular,2024-01-15,Dr. Davis,,Upper extremity arterial insufficiency | Trauma | Dialysis access planning | Thoracic outlet syndrome,Supine with affected arm raised above head or at side depending on indication,NPO 2 hours,,Isovue 370,100 mL,4 mL/s,,Bolus Tracking,Subclavian artery,150 HU,100,Auto (reference 200),0.5s,0.9,Scan from aortic arch to fingertips. May need bilateral for comparison. Position arm to demonstrate pathology | Inject into contralateral arm,20G IV in contralateral arm,Assess subclavian axillary brachial radial ulnar arteries. Look for stenosis occlusion or injury,Position arm to avoid overlap with torso. May need special positioning for TOS,MIP and 3D VR. Subtract bones for vessel visualization,Verify eGFR > 30,Check allergy history. IV in opposite arm
ctv-abdomen-pelvis,CTV Abdomen Pelvis,vascular,vascular,2024-01-15,Dr. Chen,,Deep vein thrombosis | May-Thurner syndrome | IVC filter placement planning | Venous malformation,Supine with arms raised,NPO 2-4 hours,Oral contrast optional,Isovue 370,2.0 mL/kg,3 mL/s,40s,Fixed Delay (110s),,,120,Auto (reference 200),0.5s,1.0-1.375,Scan at 180 seconds for venous phase. Slower injection rate OK for venous imaging. Scan from diaphragm to femoral veins,18-20G IV,Assess IVC iliac femoral veins for thrombosis. Look for compression (May-Thurner). Measure vessel caliber for filter sizing,Arms raised. May add leg veins if DVT suspected,MIP venograms. 3D VR of venous system,Verify eGFR > 30,Check allergy history
ctv-chest-abdomen-pelvis,CTV Chest Abdomen Pelvis,vascular,vascular,2024-01-15,Dr. White,,Superior vena cava syndrome | Central venous occlusion | Tumor staging with venous involvement,Supine with arms raised,NPO 2-4 hours,,Isovue 370,2.0 mL/kg,3 mL/s,40s,Fixed Delay (180s),,,120,Auto (reference 200),0.5s,1.0-1.2,Scan at 180 seconds. Include SVC through femoral veins. May need arm injection for SVC assessment,18-20G IV - may need bilateral arm IVs for SVC,Assess SVC IVC and major tributaries. Look for thrombosis compression or tumor invasion,Arms raised. For SVC consider bilateral arm injection,3D venogram MIP. Curved MPR of SVC and IVC,Verify eGFR > 30,Check allergy history. May need bilateral IVs
